Book Name,Author,Description,Listening Time,Ranks and Genre,Final_Rating,Final_Price,Final_Reviews,Clean_Genres,Cluster,Hybrid_Score
think like a monk: the secret of how to harness the power of positivity and be happy now,jay shetty,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",10 hours and 54 minutes,",#1 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Success,#1 in Stress Management,#2 in Society & Culture (Books)",4.9,10080.0,313.0,[],1,5.2397571943633015
ikigai: the japanese secret to a long and happy life,héctor garcía,Brought to you by Penguin.,3 hours and 23 minutes,",#2 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Meditation (Audible Audiobooks & Originals),#1 in Self-Esteem,#2 in Personal Success",4.6,615.0,3658.0,[],1,6.041978066007683
the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,mark manson,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",5 hours and 17 minutes,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help",4.4,10378.0,20174.0,[],1,6.60487979725526
atomic habits: an easy and proven way to build good habits and break bad ones,james clear,Brought to you by Penguin.,5 hours and 35 minutes,",#5 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychology (Audible Audiobooks & Originals),#3 in Stress Management,#4 in Personal Success",4.6,888.0,4614.0,[],1,6.134826858774781
life's amazing secrets: how to find balance and purpose in your life,gaur gopal das,"Stop going through life,  Start growing through life!",6 hours and 25 minutes,",#6 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Essays,#1 in Essays (Books),#1 in Spiritualism",4.6,1005.0,4302.0,[],1,6.10682709313544
extraordinary leadership,robin sharma,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",1 hour and 6 minutes,",#1 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Leadership,#1 in Business Careers",4.1,0.0,179.0,[],0,4.537182740356084
sapiens,yuval noah harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,15 hours and 18 minutes,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)",4.6,1093.0,19994.0,[],1,6.721295008512367
sapiens,yuval noah harari,New York Times Best Seller  ,21 hours and 42 minutes,",#72 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Anthropology (Audible Audiobooks & Originals),#11 in Anthropology (Books)",4.6,1093.0,19994.0,[],1,6.721295008512367
the intelligent investor rev ed.,benjamin graham,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,17 hours and 48 minutes,",#7 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Finance,#1 in Investing & Trading,#4 in Analysis & Strategy",4.4,18290.0,9253.0,[],1,6.293124467786779
rich dad poor dad: what the rich teach their kids about money - that the poor and middle class do not!,robert t. kiyosaki,Rich Dad Poor Dad will…. ,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",4.5,837.0,21936.0,[],1,6.698371995170275
the 5am club: own your morning. elevate your life.,robin sharma,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",11 hours and 4 minutes,",#8 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sleep Disorders,#6 in Personal Success,#8 in Healthy Living & Wellness",4.4,8735.0,5082.0,[],1,6.053462766978761
dream with your eyes open: an entrepreneurial journey,ronnie screwvala,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",7 hours and 19 minutes,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",3.6,0.0,43.0,[],1,3.6736758535673046
influence: the psychology of persuasion,robert b. cialdini,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",10 hours and 6 minutes,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",4.4,12356.0,3766.0,[],1,5.933613683076817
the sandman,neil gaiman,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",10 hours and 54 minutes,",#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)",5.0,1171.0,1.0,[],1,3.277258872223978
the alchemist: a fable about following your dream,paulo coelho,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4 hours,",#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",4.6,10378.0,28099.0,['Thriller & Mystery (Books)'],0,6.857409942128735
how to win friends and influence people,dale carnegie,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",8 hours and 5 minutes,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",4.5,668.0,20872.0,[],1,6.678484694698362
"thinking, fast and slow",daniel kahneman,Brought to you by Penguin.,20 hours and 1 minute,",#13 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Decision Making & Problem Solving,#3 in Psychology (Audible Audiobooks & Originals),#8 in Personal Success",4.4,1093.0,9774.0,[],1,6.315033353941427
sherlock holmes: the definitive collection,arthur conan doyle,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",71 hours and 57 minutes,",#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",5.0,3037.0,6.0,['Thriller & Mystery (Books)'],1,3.7783640596221253
becoming,michelle obama,Penguin presents the audiobook edition of Becoming by Michelle Obama.,19 hours and 3 minutes,",#12 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#13 in Biographies & Autobiographies (Books)",4.6,1093.0,13848.0,[],7,6.574387322737087
just do it: the nike spirit in the corporate world,donald katz,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",14 hours,",#3 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Popular Culture Studies,#1 in Biographies of Business Leaders,#1 in Biographies of Actors",4.0,0.0,37.0,[],1,3.8550344638905543
